drug,l2s2_n_total,l2s2_n_signatures,l2s2_n_significant,l2s2_n_significant_mimic,l2s2_n_significant_general,l2s2_signatures,l2s2_mimic_signatures,l2s2_general_signatures,l2s2_n_sig_pval,l2s2_min_pvalue,l2s2_min_adj_pvalue,l2s2_min_pvalue_general,l2s2_min_adj_pvalue_general,l2s2_min_pvalue_up,l2s2_min_adj_pvalue_up,l2s2_mean_neglog10p,l2s2_max_neglog10p,l2s2_mean_odds_ratio,l2s2_max_odds_ratio,l2s2_direction,l2s2_retrieval_sort,l1k_n_total,l1k_n_signatures,l1k_signatures,l1k_mean_score,l1k_max_score,l1k_false_rescue,n_engines,n_total_signatures,regulatory_status,approved_jurisdiction,mechanism,target_axis,candidate_tier,lincs_eligible,lookup_source,mechanism_flag,firewall_status,firewall_reason,lincs_drug,signature_has_nominal_genes
dasatinib,9,9,1,5,0,GSE22206_case_v_control_100_rescue,GSE134780_HH_v_WT_fat_150_rescue;GSE134780_HH_v_WT_fat_250_rescue;GSE22206_LCL_case_v_control_100_rescue;GSE22206_LCL_case_v_control_150_rescue;GSE22206_LCL_case_v_control_250_rescue,,1,7.12023649956272e-07,8.949741711255919e-05,0.0021578261881938,0.4317528746986188,1.5686683803158758e-21,4.227561284951285e-18,0.687,6.148,0.756,1.928,MIXED,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,APPROVED_MEDICATION,FDA; EMA,Approved tyrosine-kinase inhibitor for Ph+ CML and ALL; used as the approved component of a dasatinib + quercetin senolytic adjunct,BCR-ABL / SRC / senolytic adjunct,Tier2-SENESCENCE (adjunct),True,track2_candidates,mechanism_ok,WEAK,only_1_signature_total; mixed_l2s2_directionality_reverse_and_mimic,dasatinib,False
sirolimus,13,13,1,9,2,GSE22206_case_v_control_100_rescue,GSE134780_HH_v_WT_fat_250_rescue;GSE22206_LCL_case_v_control_100_rescue;GSE22206_LCL_case_v_control_150_rescue;GSE22206_LCL_case_v_control_250_rescue;GSE22206_case_v_control_150_rescue;GSE22206_case_v_control_250_rescue;GSE22206_fibro_case_v_control_100_rescue;GSE22206_fibro_case_v_control_150_rescue;GSE22206_fibro_case_v_control_250_rescue,GSE134780_HL1002P_v_WT_fat_250_rescue;GSE22206_case_v_control_100_rescue,1,1.699987987803262e-06,0.0001972421960207,4.1251167427815636e-10,6.436604572788474e-08,9.212274243388229e-18,2.6314861376238474e-14,0.459,5.77,0.67,2.438,MIXED,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,APPROVED_MEDICATION,FDA; EMA,mTORC1 inhibition; fly TOR-depletion / larval rapamycin rescued aneuploid neuroblast COUNTS (not brain size),MTORC1/autophagy via FKBP1A,Tier2-AUTOPHAGY,True,track2_candidates,mechanism_ok,WEAK,only_1_signature_total; mixed_l2s2_directionality_reverse_and_mimic,sirolimus,False
palbociclib,6,6,1,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,2,1.025997250114741e-28,4.642637556769205e-25,1.753192716786863e-48,7.933197043460555e-45,0.0077041378217929,0.2043182882774012,5.207,27.989,1.995,8.287,REVERSE,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,cytotoxic_cancer,REJECT,not_matched_to_candidate_or_axis; cytotoxic_or_cancer_mechanism; only_1_signature_total,palbociclib,False
bortezomib,14,14,1,10,0,GSE22206_case_v_control_100_rescue,GSE134780_HH_v_WT_fat_250_rescue;GSE134780_HL1002P_v_WT_fat_250_rescue;GSE22206_LCL_case_v_control_100_rescue;GSE22206_LCL_case_v_control_150_rescue;GSE22206_LCL_case_v_control_250_rescue;GSE22206_case_v_control_150_rescue;GSE22206_case_v_control_250_rescue;GSE22206_fibro_case_v_control_100_rescue;GSE22206_fibro_case_v_control_150_rescue;GSE22206_fibro_case_v_control_250_rescue,,2,5.001649103658495e-15,3.772077032342448e-12,0.4163283008138326,1.0,4.208242365570648e-26,2.3317870947626964e-22,1.2,14.301,0.218,1.041,MIXED,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,cytotoxic_cancer,REJECT,not_matched_to_candidate_or_axis; cytotoxic_or_cancer_mechanism; only_1_signature_total; mixed_l2s2_directionality_reverse_and_mimic,bortezomib,False
afatinib,7,7,1,4,1,GSE22206_case_v_control_100_rescue,GSE134780_HH_v_WT_fat_250_rescue;GSE22206_LCL_case_v_control_100_rescue;GSE22206_LCL_case_v_control_150_rescue;GSE22206_LCL_case_v_control_250_rescue,GSE22206_case_v_control_100_rescue,1,3.187352487941305e-13,1.8028462509918004e-10,1.778353007781091e-06,0.0001463099520038,3.810023288949297e-10,3.422670921239452e-07,1.785,12.497,1.136,2.983,MIXED,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total; mixed_l2s2_directionality_reverse_and_mimic,afatinib,False
vorinostat,17,17,1,9,1,GSE22206_case_v_control_100_rescue,GSE134780_HH_v_WT_fat_250_rescue;GSE22206_LCL_case_v_control_100_rescue;GSE22206_LCL_case_v_control_150_rescue;GSE22206_LCL_case_v_control_250_rescue;GSE22206_case_v_control_150_rescue;GSE22206_case_v_control_250_rescue;GSE22206_fibro_case_v_control_100_rescue;GSE22206_fibro_case_v_control_150_rescue;GSE22206_fibro_case_v_control_250_rescue,GSE22206_case_v_control_100_rescue,2,4.379375942724464e-13,2.2018529045364663e-10,4.496411181086474e-09,5.651739054004527e-07,6.585996228143605e-19,4.951571497525967e-16,0.871,12.359,0.331,1.956,MIXED,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total; mixed_l2s2_directionality_reverse_and_mimic,vorinostat,False
neratinib,4,4,1,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,1,1.4009024992905216e-10,4.5279170066354363e-08,3.662781784255671e-11,7.533676169889503e-09,0.0076503877036401,0.3076788971850099,2.611,9.854,2.622,4.344,REVERSE,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,neratinib,False
mitoxantrone,13,13,1,8,1,GSE22206_case_v_control_100_rescue,GSE134780_HH_v_WT_fat_250_rescue;GSE22206_LCL_case_v_control_100_rescue;GSE22206_LCL_case_v_control_150_rescue;GSE22206_LCL_case_v_control_250_rescue;GSE22206_case_v_control_150_rescue;GSE22206_case_v_control_250_rescue;GSE22206_fibro_case_v_control_100_rescue;GSE22206_fibro_case_v_control_150_rescue,GSE22206_case_v_control_100_rescue,1,2.787279115788741e-10,8.408291999296036e-08,1.2675269416309917e-12,3.1864218949334643e-10,1.7700692470483446e-13,3.388502561932881e-10,0.745,9.555,0.515,2.706,MIXED,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total; mixed_l2s2_directionality_reverse_and_mimic,mitoxantrone,False
pralatrexate,1,1,1,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,1,2.2679615758299833e-09,6.40330039032951e-07,1.1361220757541696e-19,7.34421770398231e-17,0.9999999999992346,1.0,8.644,8.644,12.146,12.146,REVERSE,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,pralatrexate,False
azacitidine,4,4,1,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,1,2.405659815151418e-09,6.40330039032951e-07,7.531364565241336e-10,1.0675117161502408e-07,0.0076294014544642,0.3477961535027336,2.155,8.619,1.091,4.3,REVERSE,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,cytotoxic_cancer,REJECT,not_matched_to_candidate_or_axis; cytotoxic_or_cancer_mechanism; only_1_signature_total,azacitidine,False
